ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-06-26,39.78459977076567,34.88878881351616,61.41651870507025,39.78459977076567,39.78459977076567,8.631804642493234,8.631804642493234,8.631804642493234,8.631804642493234,8.631804642493234,8.631804642493234,0.0,0.0,0.0,48.4164044132589
2018-06-27,39.7149214151081,32.59589689225756,59.5426539146292,39.7149214151081,39.7149214151081,7.077521191898782,7.077521191898782,7.077521191898782,7.077521191898782,7.077521191898782,7.077521191898782,0.0,0.0,0.0,46.79244260700688
2018-06-28,39.645243059450536,29.984709973665286,55.520323623519445,39.645243059450536,39.645243059450536,2.168193160044916,2.168193160044916,2.168193160044916,2.168193160044916,2.168193160044916,2.168193160044916,0.0,0.0,0.0,41.81343621949545
2018-06-29,39.57556470379296,26.346011029918607,54.52336140283621,39.57556470379296,39.57556470379296,1.165201964136081,1.165201964136081,1.165201964136081,1.165201964136081,1.165201964136081,1.165201964136081,0.0,0.0,0.0,40.740766667929044
2018-06-30,39.5058863481354,14.027594984766985,41.55959930629981,39.5058863481354,39.5058863481354,-10.968499886354637,-10.968499886354637,-10.968499886354637,-10.968499886354637,-10.968499886354637,-10.968499886354637,0.0,0.0,0.0,28.537386461780763
2018-07-01,39.43620799247783,2.538518868312563,30.6851209099572,39.43620799247783,39.43620799247783,-23.34108733991188,-23.34108733991188,-23.34108733991188,-23.34108733991188,-23.34108733991188,-23.34108733991188,0.0,0.0,0.0,16.095120652565953
2018-07-02,39.36652963956581,41.03166285458221,69.17312960509247,39.36652963956581,39.36652963956581,15.266866267657738,15.266866267657738,15.266866267657738,15.266866267657738,15.266866267657738,15.266866267657738,0.0,0.0,0.0,54.63339590722355
2018-07-03,39.2968512866538,34.71160736065243,61.471873499560374,39.2968512866538,39.2968512866538,8.631804642468207,8.631804642468207,8.631804642468207,8.631804642468207,8.631804642468207,8.631804642468207,0.0,0.0,0.0,47.928655929122
2018-07-04,39.22717293374178,33.22545771047761,61.0785022227772,39.22717293374178,39.22717293374178,7.077521191882927,7.077521191882927,7.077521191882927,7.077521191882927,7.077521191882927,7.077521191882927,0.0,0.0,0.0,46.30469412562471
2018-07-05,39.15749458082976,28.182147330343412,55.15627475336821,39.15749458082976,39.15749458082976,2.168193160048294,2.168193160048294,2.168193160048294,2.168193160048294,2.168193160048294,2.168193160048294,0.0,0.0,0.0,41.32568774087806
